age_group,invited,registered,date
40-50,1213,6021,2021-04-05
50-60,6127,6646,2021-04-05
60-75,9290,9299,2021-04-05
75-,3421,3421,2021-04-05
-18,0,211,2021-04-06
18-30,489,3080,2021-04-06
30-40,713,5314,2021-04-06
40-50,1177,5795,2021-04-06
50-60,6258,6868,2021-04-06
60-75,9715,9731,2021-04-06
75-,3725,3730,2021-04-06
-18,0,198,2021-04-07
18-30,569,3342,2021-04-07
30-40,654,4670,2021-04-07
40-50,1068,5208,2021-04-07
50-60,5579,6116,2021-04-07
60-75,8921,8931,2021-04-07
75-,3320,3324,2021-04-07
-18,0,131,2021-04-08
18-30,396,2262,2021-04-08
30-40,490,3152,2021-04-08
40-50,723,3564,2021-04-08
50-60,4108,4498,2021-04-08
60-75,6860,6874,2021-04-08
75-,2562,2564,2021-04-08
-18,0,177,2021-04-09
18-30,315,1989,2021-04-09
30-40,299,2836,2021-04-09
40-50,584,3429,2021-04-09
50-60,3963,4342,2021-04-09
60-75,6233,6252,2021-04-09
75-,2418,2423,2021-04-09
-18,0,86,2021-04-10
18-30,171,1258,2021-04-10
30-40,220,1662,2021-04-10
40-50,382,2076,2021-04-10
50-60,2449,2655,2021-04-10
60-75,4475,4484,2021-04-10
75-,1695,1695,2021-04-10
-18,0,137,2021-04-11
18-30,208,1567,2021-04-11
30-40,228,2209,2021-04-11
40-50,443,2705,2021-04-11
50-60,3541,3880,2021-04-11
60-75,6209,6229,2021-04-11
75-,2293,2296,2021-04-11
-18,0,118,2021-04-12
18-30,209,1440,2021-04-12
30-40,254,2146,2021-04-12
40-50,460,2446,2021-04-12
50-60,3151,3424,2021-04-12
60-75,6328,6344,2021-04-12
75-,2168,2171,2021-04-12
-18,0,29,2021-04-13
18-30,142,872,2021-04-13
30-40,175,1288,2021-04-13
40-50,359,1611,2021-04-13
50-60,1980,2140,2021-04-13
60-75,3937,3951,2021-04-13
75-,1497,1500,2021-04-13
-18,0,63,2021-04-14
18-30,160,1062,2021-04-14
30-40,193,1727,2021-04-14
40-50,383,2042,2021-04-14
50-60,2509,2768,2021-04-14
60-75,4641,4654,2021-04-14
75-,1653,1658,2021-04-14
-18,0,83,2021-04-15
18-30,200,1491,2021-04-15
30-40,319,2570,2021-04-15
40-50,562,2905,2021-04-15
50-60,3250,3545,2021-04-15
60-75,5562,5579,2021-04-15
75-,1950,1953,2021-04-15
-18,0,90,2021-04-16
18-30,268,1462,2021-04-16
30-40,379,2334,2021-04-16
40-50,664,2766,2021-04-16
50-60,3268,3527,2021-04-16
60-75,5333,5352,2021-04-16
75-,1756,1761,2021-04-16
-18,0,60,2021-04-17
18-30,160,1158,2021-04-17
30-40,219,1734,2021-04-17
40-50,330,1901,2021-04-17
50-60,2344,2589,2021-04-17
60-75,3966,3981,2021-04-17
75-,1215,1217,2021-04-17
-18,0,96,2021-04-18
18-30,194,1326,2021-04-18
30-40,155,2032,2021-04-18
40-50,347,2339,2021-04-18
50-60,2850,3130,2021-04-18
60-75,4740,4773,2021-04-18
75-,1575,1576,2021-04-18
-18,0,118,2021-04-19
18-30,238,1775,2021-04-19
30-40,294,2764,2021-04-19
40-50,577,3076,2021-04-19
50-60,4045,4458,2021-04-19
60-75,6582,6628,2021-04-19
75-,1895,1898,2021-04-19
-18,0,103,2021-04-20
18-30,187,1510,2021-04-20
30-40,283,2502,2021-04-20
40-50,552,2872,2021-04-20
50-60,3923,4268,2021-04-20
60-75,6291,6341,2021-04-20
75-,1840,1841,2021-04-20
-18,0,109,2021-04-21
18-30,222,1670,2021-04-21
30-40,304,2577,2021-04-21
40-50,553,3048,2021-04-21
50-60,3945,4288,2021-04-21
60-75,6636,6678,2021-04-21
75-,1950,1961,2021-04-21
-18,0,166,2021-04-22
18-30,318,3334,2021-04-22
30-40,359,3936,2021-04-22
40-50,644,3802,2021-04-22
50-60,4743,5213,2021-04-22
60-75,7168,7220,2021-04-22
75-,1966,1976,2021-04-22
-18,0,210,2021-04-23
18-30,383,3851,2021-04-23
30-40,404,4955,2021-04-23
40-50,749,4880,2021-04-23
50-60,5679,6340,2021-04-23
60-75,7727,7790,2021-04-23
75-,2014,2018,2021-04-23
-18,0,164,2021-04-24
18-30,231,2356,2021-04-24
30-40,325,3587,2021-04-24
40-50,673,4070,2021-04-24
50-60,5260,5807,2021-04-24
60-75,7743,7803,2021-04-24
75-,2036,2048,2021-04-24
-18,0,151,2021-04-25
18-30,190,2167,2021-04-25
30-40,279,3433,2021-04-25
40-50,636,4083,2021-04-25
50-60,4945,5457,2021-04-25
60-75,7043,7087,2021-04-25
75-,1979,1987,2021-04-25
-18,0,100,2021-04-26
18-30,255,2066,2021-04-26
30-40,349,3277,2021-04-26
40-50,649,3679,2021-04-26
50-60,4908,5439,2021-04-26
60-75,6848,6906,2021-04-26
75-,1890,1899,2021-04-26
-18,0,124,2021-04-27
18-30,198,1668,2021-04-27
30-40,318,2653,2021-04-27
40-50,557,3116,2021-04-27
50-60,3966,4409,2021-04-27
60-75,5265,5320,2021-04-27
75-,1551,1560,2021-04-27
-18,0,133,2021-04-28
18-30,214,2314,2021-04-28
30-40,362,3429,2021-04-28
40-50,741,3966,2021-04-28
50-60,4604,5153,2021-04-28
60-75,5918,5965,2021-04-28
75-,1575,1584,2021-04-28
-18,0,167,2021-04-29
18-30,270,2632,2021-04-29
30-40,386,3703,2021-04-29
40-50,787,4319,2021-04-29
50-60,5065,5645,2021-04-29
60-75,6328,6375,2021-04-29
75-,1696,1705,2021-04-29
-18,0,154,2021-04-30
18-30,272,2547,2021-04-30
30-40,377,3744,2021-04-30
40-50,813,4560,2021-04-30
50-60,5442,6112,2021-04-30
60-75,6770,6838,2021-04-30
75-,1810,1820,2021-04-30
